Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
95,Jevon Carter,PG,26,TOT,62,843,10,0.549,0.682,0.075,1.7,11,6.5,13.8,1.1,1.4,11.8,14.3,,0.6,0.6,1.1,0.065,,-1.5,-0.6,-2.1,0
95,Jevon Carter,PG,26,BRK,46,552,6.6,0.462,0.73,0.057,1.8,11.2,6.6,10.9,1.2,1.6,12.7,15.9,,-0.4,0.4,-0.1,-0.007,,-3.5,-0.9,-4.4,-0.3
95,Jevon Carter,PG,26,MIL,16,291,16.5,0.773,0.554,0.123,1.5,10.7,6.2,19.2,1,1,9.3,11.1,,1,0.2,1.2,0.2,,2.4,0,2.4,0.3
96,Wendell Carter Jr.,C,22,ORL,62,1852,18.4,0.601,0.313,0.303,7.9,29.1,18.5,15.5,0.9,2.1,13.1,20.8,,2.7,2.4,5.1,0.132,,1,0.5,1.6,1.7
97,Alex Caruso,SG,27,CHI,40,1125,12,0.539,0.484,0.292,3.2,11.2,7.2,18,3.1,1.2,16.8,13.3,,0.8,1.3,2.1,0.088,,-2,2.4,0.4,0.7
98,Willie Cauley-Stein,C,28,TOT,20,183,8.3,0.474,0.057,0.057,7.8,16.4,12.1,7.5,1.7,1.5,16.3,10.6,,0,0.3,0.2,0.064,,-4.1,1.1,-3,0
98,Willie Cauley-Stein,C,28,DAL,18,177,8.5,0.474,0.057,0.057,8.1,15.7,11.9,7.1,1.7,1.5,16.3,10.9,,0,0.2,0.2,0.062,,-4.1,0.9,-3.2,-0.1
98,Willie Cauley-Stein,C,28,PHI,2,6,4.2,,,,0,36.6,18.6,20.6,0,0,,0,,0,0,0,0.137,,-4.6,5.8,1.3,0
99,Ahmad Caver,PG,25,IND,1,1,76.7,1,0,0,0,0,0,0,0,0,0,42.9,,0,0,0,1.214,,30.2,6.4,36.5,0
100,Justin Champagnie,SF,20,TOR,35,274,13.5,0.566,0.4,0.138,13.9,13.7,13.8,5.5,1.3,1.4,9.2,11.9,,0.5,0.3,0.8,0.141,,-1.3,-0.8,-2.1,0
